--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|วัสดุ             |คำอธิบายวัสดุ                           |Plnt|SLoc|S|เลขที่สต็อคพิเศษ        |SL|แบทช์     |BUn|         ที่ใช้ได้|     การส่ง/การโอน|ในการตรวจสอบคุณภาพ|    การใช้ที่จำกัด|             ระงับ|            ส่งคืน|
|1-00-001-0002     |POLE  9 M.                              |D060|0022| |                        |  |N         |EA |               48 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D060|6001| |                        |  |R         |EA |                2 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D060|6007| |                        |  |N         |EA |               56 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D060|6008| |                        |  |N         |EA |               34 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D060|6009| |                        |  |N         |EA |               72 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D060|6010| |                        |  |N         |EA |               44 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D060|6010| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D070|6001| |                        |  |N         |EA |              332 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D070|6001| |                        |  |R         |EA |                9 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D070|6002| |                        |  |N         |EA |               93 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D070|6003| |                        |  |N         |EA |              406 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D090|6001| |                        |  |N         |EA |               91 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D090|6002| |                        |  |N         |EA |              248 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D090|6002| |                        |  |R         |EA |               30 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D090|6003| |                        |  |N         |EA |               57 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D090|6003| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D100|0021| |                        |  |N         |EA |               65 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D100|6002| |                        |  |N         |EA |              538 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D100|6002| |                        |  |R         |EA |               39 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D100|6003| |                        |  |N         |EA |              164 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D100|6003| |                        |  |R         |EA |                2 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D100|6004| |                        |  |N         |EA |               57 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D100|6004| |                        |  |R         |EA |               24 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D110|0021| |                        |  |N         |EA |               57 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D110|0022| |                        |  |N         |EA |               27 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D110|6003| |                        |  |N         |EA |               11 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D120|0021| |                        |  |N         |EA |              289 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D120|0022| |                        |  |N         |EA |              207 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D120|6002| |                        |  |R         |EA |               14 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D120|6003| |                        |  |N         |EA |               38 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D120|6003| |                        |  |R         |EA |                2 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D120|6004| |                        |  |N         |EA |               13 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D130|6001| |                        |  |N         |EA |              308 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D130|6004| |                        |  |N         |EA |              239 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D130|6008| |                        |  |N         |EA |              104 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D130|6008| |                        |  |R         |EA |               28 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D010|0022| |                        |  |N         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D010|6002| |                        |  |R         |EA |                8 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D010|6003| |                        |  |N         |EA |               18 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D010|6003| |                        |  |R         |EA |               95 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D010|6004| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D010|6006| |                        |  |N         |EA |               22 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D010|6007| |                        |  |N         |EA |               28 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0004     |POLE 12 M.                              |D010|6007| |                        |  |R         |EA |               14 |                0 |                0 |                0 |                0 |                0 |
